"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"
"9","nm0000019","Wed Feb  2 21:49:29 2011","Thu Aug 23 11:00:40 2012","[green]Greats:[/green] 81/2✍; La strada✍

[b]Other Notable Screenplay(s):[/b]","Federico Fellini","Writer, <a href=""http://www.imdb.com/title/tt0056801/"">8½</a>","1920-01-20"

"10","nm0000005","Wed Feb  2 21:19:19 2011","Thu Aug 23 11:01:20 2012","Persona; The Passion of Anna; The Hour of the Wolf; The Seventh Seal

[b]Other Notable Screenplay(s):[/b]","Ingmar Bergman","Writer, <a href=""http://www.imdb.com/title/tt0050976/"">The Seventh Seal</a>","1918-07-14"

"11","nm0000316","Thu Oct  7 03:31:23 2010","Thu Aug 23 11:12:04 2012","The Producers✍; 

Blazzing Saddles; Silent Movie

[b]Other Notable Screenplay(s):[/b] Young Frankenstein✎","Mel Brooks","Actor, <a href=""http://www.imdb.com/title/tt0395251/"">The Producers</a>","1926-06-28"

"12","nm0000040","Thu Oct  7 03:37:51 2010","Thu Aug 23 11:13:03 2012","[green]Greats:[/green] Barry Lyndon; The Shining (1980); Full Metal Jacket

[orange]Give It a Shot:[/orange] Eyes Wide Shut (1999)","Stanley Kubrick","Director, <a href=""http://www.imdb.com/title/tt0081505/"">The Shining</a>","1928-07-26"

"13","nm0001379","Sun Jan 30 21:46:24 2011","Thu Aug 23 11:10:25 2012","[green]Greats:[/green] [link=tt0034167] (1941)✍; [link=tt0033870] (1941)✍; [link=tt0040897] (1948)✍; [link=tt0043265] (1951)✍

[b]Other Notable Screenplay(s):[/b] [link=tt0032413] (1940)✎; [link=tt0042208] (1950)✎; [link=tt0044926] (1952); [link=tt0050490] (1957)✎; [link=tt0073341] (1975)✎","John Huston","Director, <a href=""http://www.imdb.com/title/tt0033870/"">The Maltese Falcon</a>","1906-08-05"

"14","nm0001279","Sun Dec 19 09:24:10 2010","Thu Aug 23 11:00:10 2012","[green]Greats:[/green] All the President's Men (1976)✍

Butch Cassidy and the Sundance Kid (1969); Marathon Man; The Princess Bride; Misery

[b]Other Notable Screenplays:[/b] Chaplin (1992)","William Goldman","Writer, <a href=""http://www.imdb.com/title/tt0093779/"">The Princess Bride</a>","1931-08-12"

"15","nm0001054","Wed Jan 26 19:04:50 2011","Sun Jul 15 09:07:06 2012","[i]:Representing the Coen brothers[/i]

[b]Notable Screenplays:[/b]","Joel Coen","Writer, <a href=""http://www.imdb.com/title/tt0477348/"">No Country for Old Men</a>","1954-11-29"

"16","nm0000759","Wed Jan 26 20:13:58 2011","Mon Jul 23 16:10:37 2012","[b]Other Notable Screenplay(s):[/b]","Paul Thomas Anderson","Director, <a href=""http://www.imdb.com/title/tt0469494/"">There Will Be Blood</a>","1970-06-26"

"17","nm0000233","Thu Oct  7 03:37:19 2010","Thu Aug 23 10:55:06 2012","Reservoir Dogs✍; Pulp Fiction (1994)✍

[b]Other Notable Screenplay(s):[/b] Django Unchained (2012)","Quentin Tarantino","Actor, <a href=""http://www.imdb.com/title/tt0110912/"">Pulp Fiction</a>","1963-03-27"

"18","nm0005139","Wed Jan 26 18:51:36 2011","Mon Jul 23 16:10:05 2012","[b]Other Notable Screenplay(s):[/b]","Mike Leigh","Director, <a href=""http://www.imdb.com/title/tt0117589/"">Secrets & Lies</a>","1943-02-20"

"19","nm0744839","Wed Jan 26 19:09:52 2011","Sat Aug 13 06:24:53 2011","[b]Notable Screenplays:[/b]","Eric Roth","Writer, <a href=""http://www.imdb.com/title/tt0421715/"">The Curious Case of Benjamin Button</a>","1945-03-22"

"20","nm0000080","Sun Jan 30 21:49:05 2011","Sun Jul 15 09:07:23 2012","[b]Notable Screenplays:[/b] Citizen Kane✍","Orson Welles","Actor, <a href=""http://www.imdb.com/title/tt0033467/"">Citizen Kane</a>","1915-05-06"

"21","nm0634240","Wed Jan 26 18:45:13 2011","Mon Jul 23 16:09:54 2012","Memento✍; Inception (2010)✍; The Prestige (2006)

[b]Other Notable Screenplay(s):[/b]","Christopher Nolan","Writer, <a href=""http://www.imdb.com/title/tt0468569/"">The Dark Knight</a>","1970-07-30"

"22","nm0003836","Sun Jan 30 21:53:32 2011","Sun Jan 30 21:53:32 2011","","Michael Powell","Director, <a href=""http://www.imdb.com/title/tt0040725/"">The Red Shoes</a>","1905-09-30"

"23","nm0629580","Sun Jan 30 21:54:12 2011","Sun Jan 30 21:54:12 2011","","Dudley Nichols","Writer, <a href=""http://www.imdb.com/title/tt0031971/"">Stagecoach</a>","1895-04-06"

"24","nm0002106","Sun Jan 30 21:57:59 2011","Sun Jan 30 21:57:59 2011","","Ruth Gordon","Actress, <a href=""http://www.imdb.com/title/tt0063522/"">Rosemary's Baby</a>","1896-10-30"

"25","nm0000264","Sun Jan 30 22:06:48 2011","Mon Jul 23 16:09:11 2012","[b]Other Notable Screenplay(s):[/b]","Pedro Almodóvar","Writer, <a href=""http://www.imdb.com/title/tt0287467/"">Talk to Her</a>","1949-09-24"

"26","nm0000581","Sun Jan 30 22:09:48 2011","Sun Jan 30 22:09:48 2011","","Joseph L. Mankiewicz","Writer, <a href=""http://www.imdb.com/title/tt0042192/"">All About Eve</a>","1909-02-11"

"27","nm0874308","Wed Feb  2 21:09:14 2011","Wed Feb  2 21:09:14 2011","","Dalton Trumbo","Writer, <a href=""http://www.imdb.com/title/tt0054331/"">Spartacus</a>","1905-12-09"

"28","nm0542534","Sun Jan 30 22:34:30 2011","Sun Jan 30 22:34:30 2011","","Herman J. Mankiewicz","Writer, <a href=""http://www.imdb.com/title/tt0033467/"">Citizen Kane</a>","1897-11-07"

"29","nm0564970","Wed Feb  2 21:15:05 2011","Wed Feb  2 21:15:05 2011","","Leo McCarey","Director, <a href=""http://www.imdb.com/title/tt0050105/"">An Affair to Remember</a>","1896-10-03"

"30","nm0933858","Wed Feb  2 21:23:49 2011","Wed Feb  2 21:23:49 2011","","Michael Wilson","Writer, <a href=""http://www.imdb.com/title/tt0063442/"">Planet of the Apes</a>","1914-07-01"

"31","nm0695609","Wed Feb  2 21:22:50 2011","Wed Feb  2 21:22:50 2011","","Ruth Prawer Jhabvala","Writer, <a href=""http://www.imdb.com/title/tt0107943/"">The Remains of the Day</a>","1927-05-07"

"32","nm0004122","Wed Feb  2 21:23:56 2011","Wed Feb  2 21:23:56 2011","","Robert Bolt","Writer, <a href=""http://www.imdb.com/title/tt0056172/"">Lawrence of Arabia</a>","1924-08-15"

"33","nm0154665","Wed Feb  2 21:48:49 2011","Mon Jul 23 16:08:42 2012","[green]Greats:[/green] Network (1976)✍

[b]Other Notable Film(s):[/b]","Paddy Chayefsky","Writer, <a href=""http://www.imdb.com/title/tt0080360/"">Altered States</a>","1923-01-29"

"34","nm0000076","Wed Feb  2 21:49:42 2011","Wed Feb  2 21:49:42 2011","","François Truffaut","Writer, <a href=""http://www.imdb.com/title/tt0053198/"">The 400 Blows</a>","1932-02-06"

"35","nm0001801","Wed Feb  2 21:49:04 2011","Wed Feb  2 21:49:04 2011","","Robert Towne","Writer, <a href=""http://www.imdb.com/title/tt0117060/"">Mission: Impossible</a>","1934-11-23"

"36","nm0000320","Wed Feb  2 21:50:03 2011","Wed Feb  2 21:50:03 2011","","Luis Buñuel","Writer, <a href=""http://www.imdb.com/title/tt0055601/"">Viridiana</a>","1900-02-22"

"37","nm0372942","Sun Jan 30 22:03:23 2011","Sun Jan 30 22:03:23 2011","","Ben Hecht","Writer, <a href=""http://www.imdb.com/title/tt0038787/"">Notorious</a>","1894-02-28"

"38","nm0701374","Wed Feb  2 21:22:26 2011","Sun Jul 15 09:07:47 2012","[b]Notable Screenplays:[/b] The Godfather (1972)✍; The Godfather: Part II (1974)✍; Superman","Mario Puzo","Writer, <a href=""http://www.imdb.com/title/tt0068646/"">The Godfather</a>","1920-10-15"

"39","nm0353673","Wed Jan 26 20:18:13 2011","Wed Jan 26 20:18:13 2011","","Paul Haggis","Writer, <a href=""http://www.imdb.com/title/tt0375679/"">Crash</a>","1953-03-10"

"40","nm0780833","Wed Feb  2 21:21:06 2011","Wed Feb  2 21:21:06 2011","","George Seaton","Writer, <a href=""http://www.imdb.com/title/tt0039628/"">Miracle on 34th Street</a>","1911-04-17"

"41","nm0765091","Wed Feb  2 21:22:20 2011","Wed Feb  2 21:22:20 2011","","Alvin Sargent","Writer, <a href=""http://www.imdb.com/title/tt0316654/"">Spider-Man 2</a>","1927-04-12"

"42","nm0442109","Wed Feb  2 21:30:31 2011","Wed Feb  2 21:30:31 2011","","Charlie Kaufman","Writer, <a href=""http://www.imdb.com/title/tt0338013/"">Eternal Sunshine of the Spotless Mind</a>","1958-11-19"

"43","nm0001081","Wed Feb  2 21:31:23 2011","Wed Feb  2 21:31:23 2011","","Cameron Crowe","Director, <a href=""http://www.imdb.com/title/tt0181875/"">Almost Famous</a>","1957-07-13"

"44","nm0000886","Wed Feb  2 21:34:22 2011","Wed Feb  2 21:34:22 2011","","Warren Beatty","Actor, <a href=""http://www.imdb.com/title/tt0061418/"">Bonnie and Clyde</a>","1937-03-30"

"45","nm0000774","Wed Feb  2 21:51:14 2011","Wed Feb  2 21:51:14 2011","","Michelangelo Antonioni","Writer, <a href=""http://www.imdb.com/title/tt0060176/"">Blow-Up</a>","1912-09-29"

"46","nm0000231","Wed Feb  2 22:07:46 2011","Thu Aug 23 11:05:21 2012","[green]Greats:[/green] [link=tt0086250] (1983); [link=tt0091886] (1986)✍; [link=tt0091763] (1986)✍; [link=tt0096969] (1989)✍; [link=tt0102138] (1991)✍

[b]Other Notable Film(s):[/b] [link=tt0077928] (1978)✎; [link=tt0113987] (1995)✎","Oliver Stone","Director, <a href=""http://www.imdb.com/title/tt0091763/"">Platoon</a>","1946-09-15"

"47","nm0001469","Wed Feb  2 21:47:17 2011","Wed Feb  2 21:47:17 2011","","Barry Levinson","Producer, <a href=""http://www.imdb.com/title/tt0117665/"">Sleepers</a>","1942-04-06"

"48","nm0004056","Wed Feb  2 21:28:04 2011","Wed Feb  2 21:28:04 2011","","Andrew Stanton","Writer, <a href=""http://www.imdb.com/title/tt0266543/"">Finding Nemo</a>","1965-12-03"

"49","nm0083348","Wed Feb  2 21:29:02 2011","Wed Feb  2 21:29:02 2011","","Brad Bird","Writer, <a href=""http://www.imdb.com/title/tt0382932/"">Ratatouille</a>","1957-09-24"

"50","nm0064479","Wed Feb  2 21:34:47 2011","Wed Feb  2 21:34:47 2011","","Simon Beaufoy","Writer, <a href=""http://www.imdb.com/title/tt1010048/"">Slumdog Millionaire</a>",""

"51","nm0000965","Wed Feb  2 21:34:54 2011","Wed Feb  2 21:34:54 2011","","Danny Boyle","Director, <a href=""http://www.imdb.com/title/tt1010048/"">Slumdog Millionaire</a>","1956-10-20"

"52","nm0001392","Wed Feb  2 21:36:13 2011","Wed Feb  2 21:36:13 2011","","Peter Jackson","Producer, <a href=""http://www.imdb.com/title/tt0120737/"">The Lord of the Rings: The Fellowship of the Ring</a>","1961-10-31"

"53","nm0000184","Wed Feb  2 21:36:26 2011","Wed Feb  2 21:36:26 2011","","George Lucas","Writer, <a href=""http://www.imdb.com/title/tt0086190/"">Star Wars: Episode VI - Return of the Jedi</a>","1944-05-14"

"54","nm0741740","Wed Feb  2 21:55:29 2011","Wed Feb  2 21:55:29 2011","","William Rose","Writer, <a href=""http://www.imdb.com/title/tt0335245/"">The Ladykillers</a>","1914-12-12"

"55","nm0001188","Wed Feb  2 21:39:26 2011","Wed Feb  2 21:39:26 2011","","Nora Ephron","Writer, <a href=""http://www.imdb.com/title/tt0128853/"">You've Got Mail</a>","1941-05-19"

"56","nm0000914","Wed Feb  2 21:50:54 2011","Wed Feb  2 21:50:54 2011","","Robert Benton","Writer, <a href=""http://www.imdb.com/title/tt0079417/"">Kramer vs. Kramer</a>","1932-09-29"

"57","nm0710698","Wed Feb  2 21:53:43 2011","Wed Feb  2 21:53:43 2011","","Frederic Raphael","Writer, <a href=""http://www.imdb.com/title/tt0120663/"">Eyes Wide Shut</a>","1931-08-14"

"58","nm0224634","Wed Feb  2 21:54:34 2011","Wed Feb  2 21:54:34 2011","","I.A.L. Diamond","Writer, <a href=""http://www.imdb.com/title/tt0053291/"">Some Like It Hot</a>","1920-06-27"

"59","nm0499626","Wed Feb  2 21:54:53 2011","Wed Feb  2 21:54:53 2011","","Ernest Lehman","Writer, <a href=""http://www.imdb.com/title/tt0053125/"">North by Northwest</a>","1915-12-08"

"60","nm0825705","Wed Feb  2 21:57:51 2011","Wed Feb  2 21:57:51 2011","","John Steinbeck","Writer, <a href=""http://www.imdb.com/title/tt0032551/"">The Grapes of Wrath</a>","1902-02-27"

"61","nm0102818","Wed Feb  2 21:59:13 2011","Wed Feb  2 21:59:13 2011","","Charles Brackett","Writer, <a href=""http://www.imdb.com/title/tt0043014/"">Sunset Blvd.</a>","1892-11-26"

"62","nm0005237","Wed Feb  2 22:03:00 2011","Wed Feb  2 22:03:00 2011","","Anthony Minghella","Writer, <a href=""http://www.imdb.com/title/tt0116209/"">The English Patient</a>","1954-01-06"

"63","nm0001104","Wed Feb  2 22:03:21 2011","Wed Feb  2 22:03:21 2011","","Frank Darabont","Writer, <a href=""http://www.imdb.com/title/tt0111161/"">The Shawshank Redemption</a>","1959-01-28"

"64","nm0174374","Wed Feb  2 22:03:54 2011","Wed Feb  2 22:03:54 2011","","Bill Condon","Director, <a href=""http://www.imdb.com/title/tt0443489/"">Dreamgirls</a>","1955-10-22"

"65","nm0006487","Wed Feb  2 22:05:40 2011","Wed Feb  2 22:05:40 2011","","Jim Sheridan","Director, <a href=""http://www.imdb.com/title/tt0107207/"">In the Name of the Father</a>","1949-02-06"

"66","nm0001410","Wed Feb  2 21:48:15 2011","Wed Feb  2 21:48:15 2011","","Lawrence Kasdan","Writer, <a href=""http://www.imdb.com/title/tt0080684/"">Star Wars: Episode V - The Empire Strikes Back</a>","1949-01-14"

"67","nm0063953","Wed Feb  2 21:22:56 2011","Wed Feb  2 21:22:56 2011","","James Goldman","Writer, <a href=""http://www.imdb.com/title/tt0063227/"">The Lion in Winter</a>","1927-06-30"

"68","nm0000934","Wed Feb  2 22:08:20 2011","Wed Feb  2 22:08:20 2011","","Bernardo Bertolucci","Writer, <a href=""http://www.imdb.com/title/tt0070849/"">Last Tango in Paris</a>","1940-03-16"

"69","nm0000180","Wed Feb  2 22:08:42 2011","Wed Feb  2 22:08:42 2011","","David Lean","Director, <a href=""http://www.imdb.com/title/tt0056172/"">Lawrence of Arabia</a>","1908-03-25"

"70","nm0000455","Tue Mar 29 09:14:02 2011","Sun Apr 22 14:18:07 2012","[b]Notable Film(s):[/b] Breakfast Club; The Great Outdoors; Sixteen Candles; Planes, Trains, and Automobiles","John Hughes","Writer, <a href=""http://www.imdb.com/title/tt0104431/"">Home Alone 2: Lost in New York</a>","1950-02-18"

"71","nm0276062","Wed Feb  2 22:01:57 2011","Wed Feb  2 22:01:57 2011","","Todd Field","Actor, <a href=""http://www.imdb.com/title/tt0120663/"">Eyes Wide Shut</a>","1964-02-24"

"72","nm0001873","Mon Apr 11 19:56:35 2011","Mon Apr 11 19:56:35 2011","","Steven Zaillian","Writer, <a href=""http://www.imdb.com/title/tt0108052/"">Schindler's List</a>","1953-01-30"

"73","nm0604948","Mon Apr 11 19:57:11 2011","Mon Apr 11 19:57:11 2011","","Peter Morgan","Writer, <a href=""http://www.imdb.com/title/tt0870111/"">Frost/Nixon</a>","1963-04-10"

"74","nm0367838","Mon Apr 11 19:57:30 2011","Mon Apr 11 19:57:30 2011","","Ronald Harwood","Writer, <a href=""http://www.imdb.com/title/tt0253474/"">The Pianist</a>","1934-11-09"

"75","nm0000591","Mon Apr 11 19:58:57 2011","Mon Apr 11 19:58:57 2011","","Roman Polanski","Director, <a href=""http://www.imdb.com/title/tt0253474/"">The Pianist</a>","1933-08-18"

"76","nm0001068","Mon Apr 11 19:59:11 2011","Sun Jul 15 09:08:11 2012","[b]Notable Film(s):[/b] Lost in Translation (2003)✍","Sofia Coppola","Producer, <a href=""http://www.imdb.com/title/tt1421051/"">Somewhere</a>","1971-05-14"

"77","nm0002376","Mon Apr 11 19:59:27 2011","Mon Apr 11 19:59:27 2011","","David Hare","Writer, <a href=""http://www.imdb.com/title/tt0976051/"">The Reader</a>","1947-06-05"

"78","nm0358960","Mon Apr 11 19:59:43 2011","Mon Apr 11 19:59:43 2011","","Christopher Hampton","Writer, <a href=""http://www.imdb.com/title/tt0094947/"">Dangerous Liaisons</a>","1946-01-26"

"79","nm1184258","Mon Apr 11 20:00:27 2011","Mon Jul 23 13:35:44 2012","[green]Greats:[/green] The Departed (2006)✍

[b]Other Notable Film(s):[/b]","William Monahan","Writer, <a href=""http://www.imdb.com/title/tt0407887/"">The Departed</a>","1960-11-03"

"80","nm0004716","Mon Apr 11 19:59:58 2011","Mon Apr 11 19:59:58 2011","","Darren Aronofsky","Director, <a href=""http://www.imdb.com/title/tt0180093/"">Requiem for a Dream</a>","1969-02-12"

"81","nm0168379","Mon Apr 11 20:00:43 2011","Mon Apr 11 20:00:43 2011","","Jay Cocks","Writer, <a href=""http://www.imdb.com/title/tt0217505/"">Gangs of New York</a>","1944-01-12"

"82","nm0300866","Mon Apr 11 20:01:31 2011","Mon Apr 11 20:01:31 2011","","Stephen Gaghan","Writer, <a href=""http://www.imdb.com/title/tt0181865/"">Traffic</a>","1965-05-06"

"83","nm0517589","Mon Apr 11 20:04:11 2011","Mon Apr 11 20:04:11 2011","","John Logan","Writer, <a href=""http://www.imdb.com/title/tt0325710/"">The Last Samurai</a>","1961-09-24"

"84","nm0815070","Sat Apr 28 11:57:42 2012","Sat Apr 28 11:57:42 2012","","Aaron Sorkin","Writer, <a href=""http://www.imdb.com/title/tt0104257/"">A Few Good Men</a>","1961-06-06"

"85","nm0001825","Mon Apr 11 20:11:04 2011","Mon Apr 11 20:11:04 2011","","Andrew Kevin Walker","Writer, <a href=""http://www.imdb.com/title/tt0162661/"">Sleepy Hollow</a>","1964-08-14"

"86","nm0004675","Mon Apr 11 20:14:33 2011","Mon Apr 11 20:14:33 2011","","Phil Alden Robinson","Writer, <a href=""http://www.imdb.com/title/tt0097351/"">Field of Dreams</a>","1950-03-01"

"87","nm0027572","Mon Jul 16 15:49:01 2012","Mon Jul 16 15:49:01 2012","","Wes Anderson","Writer, <a href=""http://www.imdb.com/title/tt1748122/"">Moonrise Kingdom</a>","1969-05-01"

"88","nm0682757","Mon Jul 23 13:20:50 2012","Mon Jul 23 13:34:46 2012","[green]Greats:[/green] [link=tt0061512/] (1967)✍; [link=tt0072890] (1975)✍

[b]Other Notable Film(s):[/b] [link=tt0059017] (1965)","Frank Pierson","Writer, <a href=""http://www.imdb.com/title/tt0072890/"">Dog Day Afternoon</a>","1925-05-12"

"89","nm0000116","Mon Apr 11 20:01:47 2011","Mon Apr 11 20:01:47 2011","","James Cameron","Writer, <a href=""http://www.imdb.com/title/tt0090605/"">Aliens</a>","1954-08-16"

"90","nm0000520","Mon Apr 11 20:04:59 2011","Mon Apr 11 20:04:59 2011","","Michael Mann","Producer, <a href=""http://www.imdb.com/title/tt0113277/"">Heat</a>","1943-02-05"

"91","nm0000217","Mon Apr 11 20:31:13 2011","Mon Apr 11 20:31:13 2011","","Martin Scorsese","Director, <a href=""http://www.imdb.com/title/tt0099685/"">Goodfellas</a>","1942-11-17"

"92","nm1578335","Mon Apr 11 20:35:11 2011","Mon Apr 11 20:35:11 2011","","Michael Arndt","Writer, <a href=""http://www.imdb.com/title/tt0435761/"">Toy Story 3</a>",""

"93","nm0552731","Mon Apr 11 20:34:16 2011","Mon Apr 11 20:34:16 2011","","Mardik Martin","Writer, <a href=""http://www.imdb.com/title/tt0081398/"">Raging Bull</a>",""

"94","nm0085257","Mon Apr 11 20:26:19 2011","Thu Aug 23 10:57:10 2012","[green]Greats:[/green] Milk (2008)✍ 

[yellow]Caution:[/yellow] J. Edgar (2011)

[b]Other Notable Screenplay(s):[/b]","Dustin Lance Black","Writer, <a href=""http://www.imdb.com/title/tt1013753/"">Milk</a>","1974-06-10"

"95","nm0000255","Mon Apr 11 20:26:58 2011","Sun Jul 15 09:08:53 2012","Good Will Hunting (1997)✍","Ben Affleck","Actor, <a href=""http://www.imdb.com/title/tt1024648/"">Argo</a>","1972-08-15"

"96","nm0000354","Mon Apr 11 20:27:10 2011","Sun Jul 15 09:08:38 2012","Good Will Hunting (1997)✍","Matt Damon","Actor, <a href=""http://www.imdb.com/title/tt0258463/"">The Bourne Identity</a>","1970-10-08"

"97","nm1959505","Mon Apr 11 20:26:37 2011","Thu Aug 23 10:56:35 2012","[orange]Give It a Shot:[/orange] Young Adult (2011)

[yellow]Caution:[/yellow] Juno (2007)

[b]Other Notable Screenplay(s):[/b]","Diablo Cody","Writer, <a href=""http://www.imdb.com/title/tt0467406/"">Juno</a>","1978-06-14"

"98","nm0000948","Sat Apr 28 11:58:14 2012","Sat Apr 28 11:58:14 2012","","Shane Black","Writer, <a href=""http://www.imdb.com/title/tt0373469/"">Kiss Kiss Bang Bang</a>","1961-12-16"

"99","nm0333060","Sat Apr 28 11:58:30 2012","Sat Apr 28 11:58:30 2012","","David S. Goyer","Writer, <a href=""http://www.imdb.com/title/tt0372784/"">Batman Begins</a>","1965-12-22"

"100","nm0147022","Sun Jul 15 09:24:09 2012","Sun Jul 15 09:24:09 2012","","Nick Cave","Soundtrack, <a href=""http://www.imdb.com/title/tt1212450/"">Lawless</a>","1957-09-22"
